chunk1,chunk2,vector
at 91,aged 91,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
dead,dies,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
women,Saudi Women,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
to compete,To Compete,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
to permit,Allowed,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in Olympics,At Olympics,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in Pakistan,in Pakistan,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
US drone strike,Drone strike,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
kills,kills,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Syria peace plan conditions,Syria peace,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
in Houla massacre,for Houla massacre,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
mixed,higher,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Friday,midday Friday,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
close,close,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
China stocks,Chinese stocks,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
used,used,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Mall attackers,attackers,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
` less is more ' strategy,` less is more ' strategy,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
strikes off,strikes off,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
6.8 quake,Magnitude 6.3 quake,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
Solomon Islands,Solomon Islands,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
opposition coalition,opposition,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Friends,Friends,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
recognizes,recognize,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
as legitimate representative,as sole representative,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
of Syria,of Syria,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
7,7,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
detained,detains,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
for ` house sister ' scandal,for `` house sister '' scandal,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
